id,name_en,name_cn,rarity,tags_en
"char_009_12fce","12F","12F",2,"Ranged;Starter;术师;男"
"char_102_texas","Texas","德克萨斯",5,"Senior Operator;Melee;DP-Recovery;Crowd Control;先锋;女"
"char_103_angel","Exusiai","能天使",6,"Top Operator;Ranged;DPS;狙击;女"
"char_107_liskam","Liskarm","雷蛇",5,"Senior Operator;Melee;Defense;DPS;重装;女"
"char_108_silent","Silence","赫默",5,"Senior Operator;Ranged;Healing;医疗;女"
"char_109_fmout","Gitano","远山",4,"Ranged;AoE;术师;女"
"char_112_siege","Siege","推进之王",6,"Top Operator;Melee;DP-Recovery;DPS;先锋;女"
"char_115_headbr","Зима","凛冬",5,"Senior Operator;Melee;DP-Recovery;Support;先锋;女"
"char_117_myrrh","Myrrh","末药",4,"Ranged;Healing;医疗;女"
"char_118_yuki","ShiraYuki","白雪",4,"Ranged;AoE;Slow;狙击;女"
"char_120_hibisc","Hibiscus","芙蓉",3,"Ranged;Healing;医疗;女"
"char_121_lava","Lava","炎熔",3,"Ranged;AoE;术师;女"
"char_122_beagle","Beagle","米格鲁",3,"Melee;Defense;重装;女"
"char_123_fang","Fang","芬",3,"Melee;DP-Recovery;先锋;女"
"char_124_kroos","Kroos","克洛丝",3,"Ranged;DPS;狙击;女"
"char_126_shotst","Meteor","流星",4,"Ranged;DPS;Debuff;狙击;女"
"char_127_estell","Estelle","艾丝黛尔",4,"Melee;AoE;Survival;近卫;女"
"char_128_plosis","Ptilopsis","白面鸮",5,"Senior Operator;Ranged;Healing;Support;医疗;女"
"char_129_bluep","Blue Poison","蓝毒",5,"Senior Operator;Ranged;DPS;狙击;女"
"char_130_doberm","Dobermann","杜宾",4,"Melee;DPS;Support;近卫;女"
"char_134_ifrit","Ifrit","伊芙利特",6,"Top Operator;Ranged;AoE;Debuff;术师;女"
"char_136_hsguma","Hoshiguma","星熊",6,"Top Operator;Melee;Defense;DPS;重装;女"
"char_141_nights","Haze","夜烟",4,"Ranged;DPS;Debuff;术师;女"
"char_143_ghost","Specter","幽灵鲨",5,"Senior Operator;Melee;AoE;Survival;近卫;女"
"char_144_red","Projekt Red","红",5,"Senior Operator;Melee;Fast-Redeploy;Crowd Control;特种;女"
"char_145_prove","Provence","普罗旺斯",5,"Senior Operator;Ranged;DPS;狙击;女"
"char_147_shining","Shining","闪灵",6,"Top Operator;Ranged;Healing;Support;医疗;女"
"char_148_nearl","Nearl","临光",5,"Senior Operator;Melee;Defense;Healing;重装;女"
"char_149_scave","Scavenger","清道夫",4,"Melee;DP-Recovery;DPS;先锋;女"
"char_150_snakek","Cuora","蛇屠箱",4,"Melee;Defense;重装;女"
"char_155_tiger","Indra","因陀罗",5,"Senior Operator;Melee;DPS;Survival;近卫;女"
"char_158_milu","Firewatch","守林人",5,"Senior Operator;Ranged;DPS;Nuker;狙击;女"
"char_163_hpsts","Vulcan","火神",5,"Senior Operator;Melee;Survival;Defense;DPS;重装;女"
"char_171_bldsk","Warfarin","华法琳",5,"Senior Operator;Ranged;Healing;Support;医疗;女"
"char_172_svrash","SilverAsh","银灰",6,"Top Operator;Melee;DPS;Support;近卫;男"
"char_173_slchan","Cliffheart","崖心",5,"Senior Operator;Melee;Shift;DPS;特种;女"
"char_174_slbell","Pramanix","初雪",5,"Senior Operator;Ranged;Debuff;辅助;女"
"char_179_cgbird","Nightingale","夜莺",6,"Top Operator;Ranged;Healing;Support;医疗;女"
"char_181_flower","Perfumer","调香师",4,"Ranged;Healing;医疗;女"
"char_183_skgoat","Earthspirit","地灵",4,"Ranged;Slow;辅助;女"
"char_185_frncat","Mousse","慕斯",4,"Melee;DPS;近卫;女"
"char_192_falco","Plume","翎羽",3,"Melee;DPS;DP-Recovery;先锋;女"
"char_193_frostl","Frostleaf","霜叶",4,"Melee;Slow;DPS;近卫;女"
"char_195_glassb","Истина","真理",5,"Senior Operator;Ranged;Slow;DPS;辅助;女"
"char_196_sunbr","Гум","古米",4,"Melee;Defense;Healing;重装;女"
"char_199_yak","Matterhorn","角峰",4,"Melee;Defense;重装;男"
"char_201_moeshd","Croissant","可颂",5,"Senior Operator;Melee;Defense;Shift;重装;女"
"char_202_demkni","Saria","塞雷娅",6,"Top Operator;Melee;Defense;Healing;Support;重装;女"
"char_204_platnm","Platinum","白金",5,"Senior Operator;Ranged;DPS;狙击;女"
"char_208_melan","Melantha","玫兰莎",3,"Melee;DPS;Survival;近卫;女"
"char_210_stward","Steward","史都华德",3,"Ranged;DPS;术师;男"
"char_211_adnach","Adnachiel","安德切尔",3,"Ranged;DPS;狙击;男"
"char_212_ansel","Ansel","安赛尔",3,"Ranged;Healing;医疗;男"
"char_215_mantic","Manticore","狮蝎",5,"Senior Operator;Melee;DPS;Survival;特种;女"
"char_219_meteo","Meteorite","陨星",5,"Senior Operator;Ranged;AoE;Debuff;狙击;女"
"char_235_jesica","Jessica","杰西卡",4,"Ranged;DPS;Survival;狙击;女"
"char_236_rope","Rope","暗索",4,"Melee;Shift;特种;女"
"char_237_gravel","Gravel","砾",4,"Melee;Fast-Redeploy;Defense;特种;女"
"char_240_wyvern","Vanilla","香草",3,"Melee;DP-Recovery;先锋;女"
